Timecode List:,00:00:01.251,00:00:08.550,00:00:11.511,00:00:13.222,00:00:28.487,00:00:40.040,00:00:47.839,00:01:00.477,00:01:04.314,00:01:07.150,00:01:08.902,00:01:24.376,00:01:31.091,00:01:37.055,00:01:38.557,00:01:45.022,00:02:07.586,00:02:13.091,00:02:24.895,00:02:34.654,00:02:35.989,00:02:43.080,00:02:52.881,00:02:55.300,00:02:59.179,00:03:07.813,00:03:10.107,00:03:13.151,00:03:18.657,00:03:21.368,00:03:22.702,00:03:29.501,00:03:35.298,00:03:48.186,00:03:52.858,00:03:59.448,00:04:02.033,00:04:13.295,00:04:17.340,00:04:18.675,00:04:24.973,00:04:29.269,00:04:30.729,00:04:36.276,00:04:42.908,00:04:48.079,00:04:49.664,00:04:55.921,00:05:00.258,00:05:09.851,00:05:18.527,00:05:27.869,00:05:31.998,00:05:43.593,00:05:49.015,00:05:55.105,00:06:00.318,00:06:02.279,00:06:03.863,00:06:09.119,00:06:15.792,00:06:27.804,00:06:29.556,00:06:36.521,00:06:41.276,00:06:44.988,00:06:46.406,00:07:05.759,00:07:09.971,00:07:18.396,00:07:25.612,00:07:26.946,00:07:28.907,00:07:40.085,00:07:46.966,00:07:55.433,00:08:02.148,00:08:07.278,00:08:09.489,00:08:10.824,00:08:13.034,00:08:20.125,00:08:21.459,00:08:22.836,00:08:32.429,00:08:58.079
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,30,00:00:01.251,1.251,30,00:00:01.251,1.251
2,31,00:00:01.251,1.251,205,00:00:08.550,8.550,175,00:00:07.299,7.299
3,206,00:00:08.550,8.550,276,00:00:11.511,11.511,71,00:00:02.961,2.961
4,277,00:00:11.511,11.511,317,00:00:13.222,13.222,41,00:00:01.710,1.710
5,318,00:00:13.222,13.222,683,00:00:28.487,28.487,366,00:00:15.265,15.265
6,684,00:00:28.487,28.487,960,00:00:40.040,40.040,277,00:00:11.553,11.553
7,961,00:00:40.040,40.040,1147,00:00:47.839,47.839,187,00:00:07.799,7.799
8,1148,00:00:47.839,47.839,1450,00:01:00.477,60.477,303,00:00:12.638,12.638
9,1451,00:01:00.477,60.477,1542,00:01:04.314,64.314,92,00:00:03.837,3.837
10,1543,00:01:04.314,64.314,1610,00:01:07.150,67.150,68,00:00:02.836,2.836
11,1611,00:01:07.150,67.150,1652,00:01:08.902,68.902,42,00:00:01.752,1.752
12,1653,00:01:08.902,68.902,2023,00:01:24.376,84.376,371,00:00:15.474,15.474
13,2024,00:01:24.376,84.376,2184,00:01:31.091,91.091,161,00:00:06.715,6.715
14,2185,00:01:31.091,91.091,2327,00:01:37.055,97.055,143,00:00:05.964,5.964
15,2328,00:01:37.055,97.055,2363,00:01:38.557,98.557,36,00:00:01.501,1.501
16,2364,00:01:38.557,98.557,2518,00:01:45.022,105.022,155,00:00:06.465,6.465
17,2519,00:01:45.022,105.022,3059,00:02:07.586,127.586,541,00:00:22.564,22.564
18,3060,00:02:07.586,127.586,3191,00:02:13.091,133.091,132,00:00:05.505,5.505
19,3192,00:02:13.091,133.091,3474,00:02:24.895,144.895,283,00:00:11.803,11.803
20,3475,00:02:24.895,144.895,3708,00:02:34.654,154.654,234,00:00:09.760,9.760
21,3709,00:02:34.654,154.654,3740,00:02:35.989,155.989,32,00:00:01.335,1.335
22,3741,00:02:35.989,155.989,3910,00:02:43.080,163.080,170,00:00:07.090,7.090
23,3911,00:02:43.080,163.080,4145,00:02:52.881,172.881,235,00:00:09.801,9.801
24,4146,00:02:52.881,172.881,4203,00:02:55.300,175.300,58,00:00:02.419,2.419
25,4204,00:02:55.300,175.300,4296,00:02:59.179,179.179,93,00:00:03.879,3.879
26,4297,00:02:59.179,179.179,4503,00:03:07.813,187.813,207,00:00:08.634,8.634
27,4504,00:03:07.813,187.813,4558,00:03:10.107,190.107,55,00:00:02.294,2.294
28,4559,00:03:10.107,190.107,4631,00:03:13.151,193.151,73,00:00:03.045,3.045
29,4632,00:03:13.151,193.151,4763,00:03:18.657,198.657,132,00:00:05.505,5.505
30,4764,00:03:18.657,198.657,4828,00:03:21.368,201.368,65,00:00:02.711,2.711
31,4829,00:03:21.368,201.368,4860,00:03:22.702,202.702,32,00:00:01.335,1.335
32,4861,00:03:22.702,202.702,5023,00:03:29.501,209.501,163,00:00:06.798,6.798
33,5024,00:03:29.501,209.501,5162,00:03:35.298,215.298,139,00:00:05.797,5.797
34,5163,00:03:35.298,215.298,5471,00:03:48.186,228.186,309,00:00:12.888,12.888
35,5472,00:03:48.186,228.186,5583,00:03:52.858,232.858,112,00:00:04.671,4.671
36,5584,00:03:52.858,232.858,5741,00:03:59.448,239.448,158,00:00:06.590,6.590
37,5742,00:03:59.448,239.448,5803,00:04:02.033,242.033,62,00:00:02.586,2.586
38,5804,00:04:02.033,242.033,6073,00:04:13.295,253.295,270,00:00:11.261,11.261
39,6074,00:04:13.295,253.295,6170,00:04:17.340,257.340,97,00:00:04.046,4.046
40,6171,00:04:17.340,257.340,6202,00:04:18.675,258.675,32,00:00:01.335,1.335
41,6203,00:04:18.675,258.675,6353,00:04:24.973,264.973,151,00:00:06.298,6.298
42,6354,00:04:24.973,264.973,6456,00:04:29.269,269.269,103,00:00:04.296,4.296
43,6457,00:04:29.269,269.269,6491,00:04:30.729,270.729,35,00:00:01.460,1.460
44,6492,00:04:30.729,270.729,6624,00:04:36.276,276.276,133,00:00:05.547,5.547
45,6625,00:04:36.276,276.276,6783,00:04:42.908,282.908,159,00:00:06.632,6.632
46,6784,00:04:42.908,282.908,6907,00:04:48.079,288.079,124,00:00:05.172,5.172
47,6908,00:04:48.079,288.079,6945,00:04:49.664,289.664,38,00:00:01.585,1.585
48,6946,00:04:49.664,289.664,7095,00:04:55.921,295.921,150,00:00:06.256,6.256
49,7096,00:04:55.921,295.921,7199,00:05:00.258,300.258,104,00:00:04.338,4.338
50,7200,00:05:00.258,300.258,7429,00:05:09.851,309.851,230,00:00:09.593,9.593
51,7430,00:05:09.851,309.851,7637,00:05:18.527,318.527,208,00:00:08.675,8.675
52,7638,00:05:18.527,318.527,7861,00:05:27.869,327.869,224,00:00:09.343,9.343
53,7862,00:05:27.869,327.869,7960,00:05:31.998,331.998,99,00:00:04.129,4.129
54,7961,00:05:31.998,331.998,8238,00:05:43.593,343.593,278,00:00:11.595,11.595
55,8239,00:05:43.593,343.593,8368,00:05:49.015,349.015,130,00:00:05.422,5.422
56,8369,00:05:49.015,349.015,8514,00:05:55.105,355.105,146,00:00:06.089,6.089
57,8515,00:05:55.105,355.105,8639,00:06:00.318,360.318,125,00:00:05.214,5.214
58,8640,00:06:00.318,360.318,8686,00:06:02.279,362.279,47,00:00:01.960,1.960
